,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
63,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-64.28278458197643,0.0,PSL
64,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR100,ELE_Rxns,0.0,18.5891438150126,0.0,0.0,-64.28278458197643,0.0,PSL
65,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-64.28278458197643,0.0,PSL
66,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS80,ELE_Rxns,0.0,8.88249729091918,0.0,0.0,-64.28278458197643,0.0,PSL
67,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3HAD100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-21.252881949006433,0.0,PSL
68,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3HAD40,ELE_Rxns,0.0,8.88249729091898,0.0,0.0,-21.252881949006433,0.0,PSL
69,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3HAD60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-21.252881949006433,0.0,PSL
70,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3HAD80,ELE_Rxns,0.0,8.88249729091918,0.0,-0.0051138002733068,-21.252881949006433,0.0,PSL
71,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAR40,ELE_Rxns,0.0,8.88249729091899,0.0,0.0,-21.252881949006433,0.0,PSL
72,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAR60,ELE_Rxns,0.0,8.88249729091774,0.0,0.0,-21.252881949006433,0.0,PSL
73,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAR80,ELE_Rxns,0.0,8.88249729091922,0.0,0.0,-21.252881949006433,0.0,PSL
74,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAS100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-21.252881949006433,0.0,PSL
75,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAR100,ELE_Rxns,0.0,18.5891438150126,0.0,0.0,-21.252881949006433,0.0,PSL
76,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAS60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-21.252881949006433,0.0,PSL
77,ACOAD3f,ELE_Rxns,-2.39738813340819,8.86501507738456,3OAS80,ELE_Rxns,0.0,8.88249729091918,0.0,0.0,-21.252881949006433,0.0,PSL
78,ACOAD4f,ELE_Rxns,-2.39738813340819,18.5716616014862,3HAD100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-44.52348114107556,0.0,PSL
79,ACOAD4f,ELE_Rxns,-2.39738813340819,18.5716616014862,3OAS100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-44.52348114107556,0.0,PSL
