"","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"48","ACACT3r","3OAS80",-9.78604669763388,2.28690654547654,0,9.80165198225258,0,0,-1,0,0,1.34636746196293e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"49","ACACT4r","3HAD100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,0,-1,0,0,-3.27990967718961e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"50","ACACT4r","3OAR100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,5.9369994546805,-1,0,0,-3.2855496101547e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"51","ACACT4r","3OAS100",-17.5497314360529,2.28690654547643,0,17.5653367206703,0,0,-1,0,0,-3.27990967718961e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"52","ACOAD1fr","3HAD100",0,1000,0,17.5653367206703,0,0,0,0,0,-4.26192414693105e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","37","13.639018756131392","17","19","1",36,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"53","ACOAD1fr","3HAD40",0,1000,0,9.80165198225041,0,0,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"54","ACOAD1fr","3HAD60",0,1000,0,9.80165198225424,0,0.000195570378817213,0,0,0,-1.20849996676498e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"55","ACOAD1fr","3HAD80",0,1000,0,9.80165198225258,0,0,0,0,0,-2.15589351926226e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"56","ACOAD1fr","3OAR100",0,1000,0,17.5653367206703,0,5.9369994546805,0,0,0,-4.20641299569979e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","37","13.639018756131392","17","19","1",36,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"57","ACOAD1fr","3OAR40",0,1000,0,9.80165198225041,0,0.000195570378817213,0,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"58","ACOAD1fr","3OAR60",0,1000,0,9.80165198225427,0,0,0,0,0,-1.20508047984913e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"59","ACOAD1fr","3OAR80",0,1000,0,9.80165198225257,0,0,0,0,0,-2.1600499167107e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"60","ACOAD1fr","3OAS100",0,1000,0,17.5653367206703,0,0,0,0,0,-4.26192414693105e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","37","13.639018756131392","17","19","1",36,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"61","ACOAD1fr","3OAS60",0,1000,0,9.80165198225424,0,0,0,0,0,-1.20849996676498e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"62","ACOAD1fr","3OAS80",0,1000,0,9.80165198225258,0,0,0,0,0,-2.15589351926226e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270969758","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"63","ACOAD2f","3HAD100",-7.18802865083069,9.78604669763422,0,17.5653367206703,0.000195570378817213,0,-1,0,NA,NA,0,-3.39537287175062e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"64","ACOAD2f","3HAD40",-7.18802865083069,9.78604669763422,0,9.80165198225041,0.000195570378817213,0,-1,0,NA,NA,0,-1.43159373244828e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"65","ACOAD2f","3HAD60",-7.18802865083069,9.78604669763422,0,9.80165198225424,0.000195570378817213,0.000195570378817213,-1,0,NA,NA,0,-1.25696814068377e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"66","ACOAD2f","3HAD80",-7.18802865083069,9.78604669763422,0,9.80165198225258,0.000195570378817213,0,-1,0,NA,NA,0,-4.06129296859348e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"67","ACOAD2f","3OAR100",-7.18802865083069,9.78604669763422,0,17.5653367206703,0.000195570378817213,5.9369994546805,-1,0,NA,NA,0,-3.39923644787632e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"68","ACOAD2f","3OAR40",-7.18802865083069,9.78604669763422,0,9.80165198225041,0.000195570378817213,0.000195570378817213,-1,0,NA,NA,0,-1.43245415529236e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"69","ACOAD2f","3OAR60",-7.18802865083069,9.78604669763422,0,9.80165198225427,0.000195570378817213,0,-1,0,NA,NA,0,-1.26192389870994e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"70","ACOAD2f","3OAR80",-7.18802865083069,9.78604669763422,0,9.80165198225257,0.000195570378817213,0,-1,0,NA,NA,0,-4.09272615797818e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"71","ACOAD2f","3OAS100",-7.18802865083069,9.78604669763422,0,17.5653367206703,0.000195570378817213,0,-1,0,NA,NA,0,-3.39537287175062e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"72","ACOAD2f","3OAS60",-7.18802865083069,9.78604669763422,0,9.80165198225424,0.000195570378817213,0,-1,0,NA,NA,0,-1.25696814068377e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270970337","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"73","ACOAD2f","3OAS80",-7.18802865083069,9.78604669763422,0,9.80165198225258,0.000195570378817213,0,-1,0,NA,NA,0,-4.06129296859348e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"74","ACOAD3f","3HAD100",-2.28690654547654,9.78604669763388,0,17.5653367206703,0,0,-1,0,NA,NA,0,-9.06306973913473e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"75","ACOAD3f","3HAD40",-2.28690654547654,9.78604669763388,0,9.80165198225041,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"76","ACOAD3f","3HAD60",-2.28690654547654,9.78604669763388,0,9.80165198225424,0,0.000195570378817213,-1,0,NA,NA,0,-2.12072165384214e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"77","ACOAD3f","3HAD80",-2.28690654547654,9.78604669763388,0,9.80165198225258,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"78","ACOAD3f","3OAR100",-2.28690654547654,9.78604669763388,0,17.5653367206703,0,5.9369994546805,-1,0,NA,NA,0,-9.09494701772928e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"79","ACOAD3f","3OAR40",-2.28690654547654,9.78604669763388,0,9.80165198225041,0,0.000195570378817213,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"80","ACOAD3f","3OAR60",-2.28690654547654,9.78604669763388,0,9.80165198225427,0,0,-1,0,NA,NA,0,-2.12594386539422e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"81","ACOAD3f","3OAR80",-2.28690654547654,9.78604669763388,0,9.80165198225257,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"82","ACOAD3f","3OAS100",-2.28690654547654,9.78604669763388,0,17.5653367206703,0,0,-1,0,NA,NA,0,-9.06306973913473e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"83","ACOAD3f","3OAS60",-2.28690654547654,9.78604669763388,0,9.80165198225424,0,0,-1,0,NA,NA,0,-2.12072165384214e-11,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"84","ACOAD3f","3OAS80",-2.28690654547654,9.78604669763388,0,9.80165198225258,0,0,-1,0,NA,NA,0,0,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"85","ACOAD4f","3HAD100",-2.28690654547643,17.5497314360529,0,17.5653367206703,0,0,-1,0,NA,NA,0,-9.52171674839519e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"86","ACOAD4f","3OAR100",-2.28690654547643,17.5497314360529,0,17.5653367206703,0,5.9369994546805,-1,0,NA,NA,0,-9.54969436861575e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"87","ACOAD4f","3OAS100",-2.28690654547643,17.5497314360529,0,17.5653367206703,0,0,-1,0,NA,NA,0,-9.52171674839519e-12,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","4.4475061161292873","6","7","2",13,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"88","AI2K","DHPTDCs2",0,41.2440811124941,0,9.13449496972792,0.000299056050119595,0,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","34","0.0043110366441721426","14","19","1",33,"Methionine Metabolism","Methionine Metabolism"
"89","AI2K","MTHTHFSs",0,41.2440811124941,0,9.13449496972792,0.000299056050119595,0.0682514312155641,0,0,0,-2.82565675501986e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","34","0.0043110366441721426","14","19","1",33,"Methionine Metabolism","Methionine Metabolism"
